,False_Positive_Rate,True_Positive_Rate,Thresholds
70,0.024295969077857537,0.29704797047970477,0.6497283
71,0.02484815019326339,0.29704797047970477,0.6487762
72,0.02484815019326339,0.2988929889298893,0.6482091
73,0.025400331308669245,0.2988929889298893,0.6479821
74,0.025400331308669245,0.3081180811808118,0.6441005
75,0.025952512424075095,0.3081180811808118,0.64303994
76,0.025952512424075095,0.30996309963099633,0.64229536
77,0.02650469353948095,0.30996309963099633,0.64193934
78,0.02650469353948095,0.3191881918819188,0.64057887
79,0.02816123688569851,0.3191881918819188,0.6381691
80,0.02816123688569851,0.3284132841328413,0.63708305
81,0.02871341800110436,0.3284132841328413,0.63613933
82,0.02871341800110436,0.33579335793357934,0.63136315
83,0.029265599116510214,0.33579335793357934,0.6302499
84,0.029265599116510214,0.3376383763837638,0.62993693
85,0.02981778023191607,0.3376383763837638,0.62716293
86,0.02981778023191607,0.34870848708487084,0.62358534
87,0.030922142462727776,0.34870848708487084,0.6218275
88,0.030922142462727776,0.3505535055350554,0.62178797
89,0.03147432357813363,0.3505535055350554,0.62100625
90,0.03147432357813363,0.35239852398523985,0.62076813
91,0.03257868580894534,0.35239852398523985,0.6193435
92,0.03257868580894534,0.35977859778597787,0.61661863
93,0.03313086692435119,0.35977859778597787,0.61546946
94,0.03313086692435119,0.36162361623616235,0.6141704
95,0.03368304803975704,0.36162361623616235,0.6127989
96,0.03368304803975704,0.36531365313653136,0.6110116
97,0.034235229155162895,0.36531365313653136,0.60927737
98,0.034235229155162895,0.37084870848708484,0.607953
99,0.034787410270568746,0.37084870848708484,0.6075525
100,0.034787410270568746,0.3726937269372694,0.6073828
101,0.0353395913859746,0.3726937269372694,0.605657
102,0.0353395913859746,0.3800738007380074,0.6030254
103,0.03589177250138045,0.3800738007380074,0.6028086
104,0.03589177250138045,0.38191881918819187,0.6027188
105,0.03754831584759801,0.38191881918819187,0.602115
106,0.03754831584759801,0.3856088560885609,0.6005411
107,0.03865267807840972,0.3856088560885609,0.5995947
108,0.03865267807840972,0.3966789667896679,0.59168315
109,0.03920485919381557,0.3966789667896679,0.5915457
110,0.03920485919381557,0.4040590405904059,0.5887317
111,0.03975704030922143,0.4040590405904059,0.58826005
112,0.03975704030922143,0.4059040590405904,0.5879151
113,0.04030922142462728,0.4059040590405904,0.5863154
114,0.04030922142462728,0.4077490774907749,0.58609563
115,0.040861402540033134,0.4077490774907749,0.5857788
116,0.040861402540033134,0.4151291512915129,0.58482254
117,0.041413583655438985,0.4151291512915129,0.5821938
118,0.041413583655438985,0.41697416974169743,0.5801617
119,0.041965764770844835,0.41697416974169743,0.57980096
120,0.041965764770844835,0.42435424354243545,0.5780499
121,0.04251794588625069,0.42435424354243545,0.5774267
122,0.04251794588625069,0.4261992619926199,0.5762555
123,0.04362230811706239,0.4261992619926199,0.57464707
124,0.04362230811706239,0.42988929889298894,0.5730581
125,0.04417448923246825,0.42988929889298894,0.57233405
