feature_set,architecture,learning_rate,cv_f1_mean,cv_f1_std,cv_f1_scores,n_features
financial_focus,"(10,)",0.0001,0.2973574466908274,0.11460355128692247,"[0.3514211485073992, 0.3867924047769213, 0.12919250414465241, 0.42406871879949376, 0.19531245722567062]",4
financial_focus,"(10,)",0.001,0.2414507228726266,0.05339637669823902,"[0.2962962671686167, 0.25316451419678415, 0.23492060434770448, 0.14336915212708146, 0.27950307652294615]",4
financial_focus,"(10,)",0.01,0.23577846021828952,0.04789909382348681,"[0.27826082191730617, 0.201342258865987, 0.21122108663515984, 0.18181815951416144, 0.3062499741588332]",4
financial_focus,"(50,)",0.0001,0.3275683586673253,0.10428190000134804,"[0.15519394764950317, 0.35784308513024576, 0.3176063986395464, 0.4813277605774912, 0.3258706013398399]",4
financial_focus,"(50,)",0.001,0.33037987409154024,0.025614176836798536,"[0.35443033365432103, 0.319999967803989, 0.2848664246306416, 0.3434902623451671, 0.34911238202358236]",4
financial_focus,"(50,)",0.01,0.30984515885853103,0.04063223300840146,"[0.3612564937386783, 0.24437295205920403, 0.29003016340351295, 0.31339027098232286, 0.34017591410893677]",4
financial_focus,"(100,)",0.0001,0.43209602702224775,0.06922552201123908,"[0.4489246826479454, 0.3593556084690284, 0.3433242149126103, 0.4999999502357009, 0.508875678845954]",4
financial_focus,"(100,)",0.001,0.3720852157274427,0.03906111365595311,"[0.38536581310349827, 0.3925729027892303, 0.30769227806607197, 0.3526315510602426, 0.42216353361817016]",4
financial_focus,"(100,)",0.01,0.31415842475465094,0.037419618325980175,"[0.33516479130389293, 0.25386993815706355, 0.28738998892024575, 0.3434902623451671, 0.35087714304688555]",4
financial_focus,"(30, 20)",0.0001,0.2927082407251112,0.04619788299316821,"[0.351437655063196, 0.2148259769873869, 0.2735561950189842, 0.3171520729069905, 0.3065693036489983]",4
financial_focus,"(30, 20)",0.001,0.23683394299092955,0.045983485801683745,"[0.312849124650806, 0.23492060434770448, 0.17241377487710263, 0.2492211444665814, 0.2147650666124533]",4
financial_focus,"(30, 20)",0.01,0.22055602233946922,0.010676119835875061,"[0.23999996709377958, 0.21710523845347493, 0.2084690182825276, 0.2149836844015526, 0.22222220346601143]",4
financial_focus,"(50, 30)",0.0001,0.2800572977126193,0.16695896666478638,"[0.16941171201887426, 0.145077667453429, 0.49193543002826307, 0.47504984574602865, 0.1188118333165013]",4
financial_focus,"(50, 30)",0.001,0.27131658345780696,0.06689099188018464,"[0.36228282582737603, 0.18556699024980608, 0.21052627852187336, 0.27167626051656596, 0.32653056217341336]",4
financial_focus,"(50, 30)",0.01,0.2596911126395794,0.04530132602470116,"[0.30857139766117525, 0.19795219862298863, 0.22508035661528775, 0.25396821495065736, 0.312883395347788]",4
financial_focus,"(100, 50)",0.0001,0.359483516146852,0.14889471096305834,"[0.3779971413814009, 0.36781603773734983, 0.4038004221220856, 0.5540540170366495, 0.09374996245677392]",4
financial_focus,"(100, 50)",0.001,0.33308050411353957,0.07144889783769488,"[0.374358919617049, 0.220064686719076, 0.30678463299805064, 0.4347825669573887, 0.32941171427613347]",4
financial_focus,"(100, 50)",0.01,0.301988503851657,0.06965375424235841,"[0.34332421665482216, 0.22516552581146151, 0.2149836844015526, 0.33516479130389293, 0.3913043010865558]",4
financial_focus,"(100, 80, 50)",0.0001,0.32407031232861694,0.1637356683616796,"[0.35318270657707335, 0.5063751695821392, 0.0158730129417638, 0.3603053206709814, 0.384615351871127]",4
financial_focus,"(100, 80, 50)",0.001,0.3057178917212866,0.06507126904147201,"[0.30898872536534094, 0.32664752131243135, 0.18120802966036995, 0.3461538198905252, 0.36559136237776557]",4
financial_focus,"(100, 80, 50)",0.01,0.27058184565259413,0.054645847010042915,"[0.34159776062147224, 0.21192049490683434, 0.24605675159705315, 0.22295078348659034, 0.3303834376510205]",4
financial_focus,"(150, 100, 50)",0.0001,0.2702690653972549,0.15166168277494738,"[0.3084832503720638, 0.46025098935402076, 0.20492861803726745, 0.361934442786822, 0.01574802643610044]",4
financial_focus,"(150, 100, 50)",0.001,0.3568151541731746,0.05381525728014975,"[0.3880596652882949, 0.4302600023579261, 0.2735561950189842, 0.3678756179971974, 0.32432429020347053]",4
financial_focus,"(150, 100, 50)",0.01,0.2825197907915321,0.04045511635715856,"[0.32967029095645933, 0.2476190141348142, 0.228571390143121, 0.2814370917206794, 0.32530116700258654]",4
