run_idx,repeat,query,query_category,source,source_name,source_status,recipes_found,success,has_403,latency_ms,fallback_external_used,fallback_mirror_used,source_unavailable,http_statuses
91,5,brownies,dessert,bbc,BBC Food,ok,1,1,0,2811.611000011908,0,0,0,[200]
92,5,risotto,main,bbc,BBC Food,ok,1,1,0,2520.393500017235,0,0,0,[200]
93,5,vegan burger,main,bbc,BBC Food,ok,1,1,0,2100.8384999877308,0,0,0,[200]
94,5,banana bread,dessert,bbc,BBC Food,ok,1,1,0,2595.4942000098526,0,0,0,[200]
95,5,roast chicken,main,bbc,BBC Food,ok,1,1,0,2202.1099000121467,0,0,0,[200]
96,5,tacos,main,bbc,BBC Food,ok,1,1,0,2190.1062999968417,0,0,0,[200]
97,5,pancakes,breakfast,bbc,BBC Food,ok,1,1,0,2757.379199989373,0,0,0,[200]
98,5,omelette,breakfast,bbc,BBC Food,ok,1,1,0,2811.783299985109,0,0,0,[200]
99,5,ramen,main,bbc,BBC Food,ok,1,1,0,2014.7421000001486,0,0,0,[200]
100,5,stir fry,main,bbc,BBC Food,ok,1,1,0,3295.565300009912,0,0,0,[200]
